cph,easting,northing,cattle,pigs,sheep,goats,deer
48/77/9005,428700,502200,2,2,7,0,0
48/78/8,426898,511394,1,217,29,0,0
48/79/9000,424778,502848,71,1,61,0,0
8/391/2,364500,523300,74,0,39,0,0
48/130/14,428500,494500,6,1892,3,0,0
48/130/75,428874,494061,8,43,16,0,0
48/130/7000,430735,494114,33,9,1,0,0
48/135/4,422000,498400,1,2,24,0,0
48/139/18,420035,496302,6,2,8,0,0
48/139/7000,419921,496029,2,3,131,0,0
48/141/37,466975,509485,2,2697,3,0,0
48/141/9005,466200,510500,7,2,18,0,0
48/142/35,468679,506415,39,1,1,0,0
48/142/36,469800,505300,6,1,10,0,0
48/142/71,471300,505800,12,1,233,0,0
48/142/72,471700,506600,3,2,72,0,0
48/142/106,468569,506573,2,1,24,0,0
48/142/142,473300,505300,5,3,8,0,0
48/142/159,470825,508637,1,2,15,0,0
48/142/167,470886,504880,29,21,216,0,0
48/142/172,468500,508200,1,868,1,0,0
48/142/175,470100,507800,17,2,2904,0,0
48/142/6000,470900,508600,5,1,202,0,0
48/142/9018,468400,507900,2,2,132,0,0
48/142/9020,470700,508100,5,1,14,0,0
8/405/16,362400,507900,131,0,131,0,0
48/149/3,467400,507400,4,2916,1,0,0
48/149/8,467800,504500,1,2,1000,0,0
8/405/170,361200,509000,194,2,2064,0,0
4/646/109,471200,515900,7,2,1660,0,0
8/414/7,365700,519400,129,0,879,0,0
8/414/11,365900,520500,234,0,781,0,0
8/414/20,365500,520000,0,0,113,0,0
8/414/23,365870,521380,20,2,2879,0,0
8/415/9,366300,522100,0,0,462,0,0
8/415/11,365996,522985,0,0,25,0,0
8/417/6,372900,521700,187,0,6032,0,0
8/417/19,370800,520300,0,0,1485,0,0
8/417/20,371000,520200,87,0,1425,0,0
48/185/89,498906,498432,12,1,1,0,0
48/185/102,498041,501619,1,4,2,0,0
48/185/105,499088,498888,1,2,15,0,0
48/185/119,497700,500300,1,51,3,0,0
48/185/121,498931,498449,2,1,14,0,0
48/185/122,498100,498400,19,1,11,0,0
48/185/127,497447,499470,3,2,7,0,0
48/185/9003,498100,501300,1,29,1,0,0
48/185/9011,499100,498800,1,1,45,0,0
48/204/10,410597,509951,35,1,2498,0,0
48/204/40,410677,510095,5,2,3,0,0
48/204/9003,410616,509932,5,1,872,0,0
4/660/165,463419,515921,13,1,101,0,0
4/660/167,466000,519000,29,0,0,0,0
4/660/172,466385,519261,105,273,1,0,0
4/660/176,466372,520028,3,2,570,0,0
4/660/179,467262,518440,18,1,78,0,0
4/660/9000,464500,518200,10,12402,1,0,0
48/306/31,469500,498900,20,2,611,0,0
48/349/7,420400,511100,1,34,12,0,0
48/349/10,419802,511657,13,3,100,0,0
48/349/13,421300,512400,14,34,63,0,0
48/350/24,397000,504900,4,2,20,0,0
48/353/4,415156,512756,38,2,504,0,0
48/371/33,414061,507796,2,2,1,0,0
48/372/82,402754,499788,1,2,1649,0,0
48/372/91,405800,498800,23,4,217,0,0
48/372/9008,401800,502100,2,1,931,0,0
48/373/121,417900,501000,29,2,13,0,0
48/373/9000,416711,501967,1,145,1,0,0
48/373/9014,417580,501261,1,1,23,0,0
48/11/12,443459,494055,90,0,314,0,0
48/11/14,443600,494500,239,0,0,0,0
48/267/38,455893,499777,1,3,56,0,0
48/267/130,456100,501700,17,182,50,1,0
48/175/26,496222,495863,129,0,640,0,0
48/175/28,495400,495800,280,0,0,0,0
