cph,i,n,r,type
8/315/6500,132.744653264201,134,134,IP
8/405/6508,133.880518674684,137,137,IP
8/405/6510,136.835096099685,138,137,IP
8/170/6510,132.94262796504,135,135,IP
8/395/6001,176.790642155055,178,178,IP
8/395/49,196.166166388663,201,201,IP
8/395/50,121.364825586712,123,123,IP
12/40/39,61.3256338455818,64,65,IP
12/40/42,54.0026225151909,58,59,IP
12/40/96,56.0317805550658,59,62,IP
12/40/144,31.718491711961,38,41,IP
8/395/10,177.191494009394,179,181,IP
12/31/6500,33.9895677084341,36,40,IP
12/265/5001,33.3119468784464,37,41,IP
31/372/6501,53.7040157015227,64,65,IP
12/18/6500,55.4884714320738,64,65,IP
31/499/6501,62.804875658346,65,65,IP
12/97/6500,97.778639810863,100,100,IP
48/310/6500,101.451001287498,104,104,IP
8/335/6503,114.179974388743,117,113,IP
8/395/6505,123.679374874407,126,126,IP
8/405/6518,135.904890528949,140,140,IP
8/315/6506,139.268989087996,141,143,IP
8/309/6506,138.276382199077,142,142,IP
48/480/6502,141.722779009518,147,147,IP
8/323/6500,150.370738214915,153,153,IP
8/320/6508,149.66559437256,157,157,IP
8/333/6509,147.265842489503,157,158,IP
8/325/6002,150.534270631106,154,173,IP
8/309/6519,164.460208506949,172,172,IP
8/309/6521,166.093331202853,172,173,IP
48/491/6501,177.331339061512,181,181,IP
8/335/6512,183.317151342812,188,188,IP
8/334/6509,185.726268289994,189,190,IP
8/395/6523,185.882314589818,190,183,IP
8/327/6511,191.682150484125,195,195,IP
8/335/6519,191.629129651904,195,195,IP
48/369/6500,198.761953198007,201,201,IP
8/315/6518,196.087822490856,201,201,IP
31/338/6514,201.607393585889,206,206,IP
31/338/6516,204.493086014098,207,206,IP
31/338/4,204.868757432802,207,207,IP
8/328/6504,203.829702806704,207,207,IP
31/338/6520,206.227786156923,208,208,IP
8/312/6501,207.26184249958,211,212,IP
8/333/6517,212.696944522553,215,216,IP
8/325/6509,210.249957591471,216,216,IP
8/313/6504,213.839481669939,217,217,IP
31/338/6526,213.725783457974,219,208,IP
8/320/6521,217.552233162148,222,216,IP
8/315/6526,222.496542415499,227,227,IP
31/373/6504,226.163164393748,229,229,IP
8/313/17,140.287611505347,147,148,IP
8/395/36,178.674088060718,181,182,IP
8/395/42,117.992056593192,125,125,IP
8/395/48,118.918791829032,122,122,IP
8/319/14,194.757417614869,200,200,IP
8/319/16,190.180261799361,192,193,IP
12/17/13,97.745195490973,100,100,IP
12/31/88,52.3190382624854,55,56,IP
12/40/72,60.939447238949,68,68,IP
12/699/25,66.6886212312057,71,71,IP
12/55/6500,61.9941963931179,69,69,IP
30/618/5,26.854715648918,29,34,IP
12/601/6500,60.288994852299,67,67,IP
8/328/7,132.026183451162,134,134,IP
8/328/16,134.302441054793,138,138,IP
12/22/4,78.202255253226,82,83,IP
12/31/428,55.0116209615531,58,60,IP
12/55/52,49.2243902368906,53,55,IP
12/41/99,22.6046499032122,26,30,IP
12/41/112,40.5886601818714,43,43,IP
8/395/72,111.82472217388,120,121,IP
8/395/73,117.823695033474,122,122,IP
12/146/7,76.3538812699138,79,81,IP
12/175/216,31.7835451874576,34,36,IP
12/176/1,53.4972386834222,55,58,IP
12/176/15,46.6769164180326,52,53,IP
12/189/17,35.3747362164065,42,46,IP
12/189/20,47.60737587244,51,52,IP
12/189/29,56.5149899636642,61,62,IP
12/189/37,43.4275331459473,48,51,IP
12/208/3,45.3432820775326,50,53,IP
12/208/16,42.2700934262096,47,50,IP
12/208/78,48.8305283384997,51,52,IP
12/208/89,51.7090062106961,53,55,IP
12/208/92,50.7208031283804,52,53,IP
12/208/104,28.3819042968576,35,37,IP
