cph,easting,northing,cattle,pigs,sheep,goats,deer
8/335/2,377100,511800,4.1307227192959,0,1.05302785668071,0,0
8/335/5,378000,510500,2.72660353408069,0,0.936542474304522,0,0
8/335/6,380300,510000,3.26539345398885,0,6.79109779253155,0,0
8/335/11,376900,511600,1.89392820331353,0,0.0256267841227606,0,0
8/335/14,377900,511900,1.27350344705565,0,0.475260360094832,0,0
48/18/6000,443424,496042,0.130615738159554,0.0385897432780373,0.00232970764752369,0,0
48/49/84,450068,494678,1.22452254524582,0.0192948716390186,0.097847721195995,0,0
48/75/9008,427156,503277,0.0163269672699443,0.0192948716390186,0.377412638898837,0,0
48/76/3,424500,499700,0.195923607239331,0.0578846149170559,0.00232970764752369,0,0
48/76/49,426000,501100,0.0326539345398885,0.0385897432780373,0.135123043556374,0,0
48/76/50,425000,500400,0.326539345398885,0.0578846149170559,0.361104685366172,0,0
48/76/7001,425524,502076,1.37146525067532,0.0192948716390186,0.403039423021598,0,0
48/77/9005,428700,502200,0.0326539345398885,0.0385897432780373,0.0163079535326658,0,0
48/78/8,426898,511394,0.0163269672699443,4.18698714566704,0.067561521778187,0,0
48/79/9000,424778,502848,1.15921467616604,0.0192948716390186,0.142112166498945,0,0
8/391/2,364500,523300,1.20819557797588,0,0.0908585982534238,0,0
48/130/14,428500,494500,0.0979618036196656,36.5058971410232,0.00698912294257106,0,0
48/130/75,428874,494061,0.130615738159554,0.829679480477801,0.037275322360379,0,0
48/130/7000,430735,494114,0.538789919908161,0.173653844751168,0.00232970764752369,0,0
48/135/4,422000,498400,0.0163269672699443,0.0385897432780373,0.0559129835405685,0,0
48/139/18,420035,496302,0.0979618036196656,0.0385897432780373,0.0186376611801895,0,0
48/139/7000,419921,496029,0.0326539345398885,0.0578846149170559,0.305191701825603,0,0
48/141/37,466975,509485,0.0326539345398885,52.0382688104332,0.00698912294257106,0,0
48/141/9005,466200,510500,0.114288770889610,0.0385897432780373,0.0419347376554264,0,0
48/142/35,468679,506415,0.636751723527826,0.0192948716390186,0.00232970764752369,0,0
48/142/36,469800,505300,0.0979618036196656,0.0192948716390186,0.0232970764752369,0,0
48/142/71,471300,505800,0.195923607239331,0.0192948716390186,0.542821881873019,0,0
48/142/72,471700,506600,0.0489809018098328,0.0385897432780373,0.167738950621705,0,0
48/142/106,468569,506573,0.0326539345398885,0.0192948716390186,0.0559129835405685,0,0
48/142/142,473300,505300,0.0816348363497213,0.0578846149170559,0.0186376611801895,0,0
48/142/159,470825,508637,0.0163269672699443,0.0385897432780373,0.0349456147128553,0,0
48/142/167,470886,504880,0.473482050828384,0.405192304419391,0.503216851865117,0,0
48/142/172,468500,508200,0.0163269672699443,16.7479485826682,0.00232970764752369,0,0
48/142/175,470100,507800,0.277558443589053,0.0385897432780373,6.76547100840879,0,0
48/142/6000,470900,508600,0.0816348363497213,0.0192948716390186,0.470600944799785,0,0
48/142/9018,468400,507900,0.0326539345398885,0.0385897432780373,0.307521409473127,0,0
48/142/9020,470700,508100,0.0816348363497213,0.0192948716390186,0.0326159070653316,0,0
8/405/16,362400,507900,2.1388327123627,0,0.305191701825603,0,0
48/149/3,467400,507400,0.065307869079777,56.2638456993783,0.00232970764752369,0,0
48/149/8,467800,504500,0.0163269672699443,0.0385897432780373,2.32970764752369,0,0
8/405/170,361200,509000,3.16743165036919,0.0385897432780373,4.80851658448889,0,0
4/646/109,471200,515900,0.114288770889610,0.0385897432780373,3.86731469488932,0,0
8/414/7,365700,519400,2.10617877782281,0,2.04781302217332,0,0
8/414/11,365900,520500,3.82051034116696,0,1.819501672716,0,0
8/414/20,365500,520000,0,0,0.263256964170177,0,0
8/414/23,365870,521380,0.326539345398885,0.0385897432780373,6.7072283172207,0,0
8/415/9,366300,522100,0,0,1.07632493315594,0,0
8/415/11,365996,522985,0,0,0.0582426911880922,0,0
8/417/6,372900,521700,3.05314287947958,0,14.0527965298629,0,0
8/417/19,370800,520300,0,0,3.45961585657268,0,0
8/417/20,371000,520200,1.42044615248515,0,3.31983339772125,0,0
48/185/89,498906,498432,0.195923607239331,0.0192948716390186,0.00232970764752369,0,0
48/185/102,498041,501619,0.0163269672699443,0.0771794865560745,0.00465941529504737,0,0
48/185/105,499088,498888,0.0163269672699443,0.0385897432780373,0.0349456147128553,0,0
48/185/119,497700,500300,0.0163269672699443,0.98403845358995,0.00698912294257106,0,0
48/185/121,498931,498449,0.0326539345398885,0.0192948716390186,0.0326159070653316,0,0
48/185/122,498100,498400,0.310212378128941,0.0192948716390186,0.0256267841227606,0,0
48/185/127,497447,499470,0.0489809018098328,0.0385897432780373,0.0163079535326658,0,0
48/185/9003,498100,501300,0.0163269672699443,0.55955127753154,0.00232970764752369,0,0
48/185/9011,499100,498800,0.0163269672699443,0.0192948716390186,0.104836844138566,0,0
48/204/10,410597,509951,0.571443854448049,0.0192948716390186,5.81960970351417,0,0
48/204/40,410677,510095,0.0816348363497213,0.0385897432780373,0.00698912294257106,0,0
48/204/9003,410616,509932,0.0816348363497213,0.0192948716390186,2.03150506864066,0,0
4/660/165,463419,515921,0.212250574509275,0.0192948716390186,0.235300472399892,0,0
4/660/167,466000,519000,0.473482050828384,0,0,0,0
4/660/172,466385,519261,1.71433156334415,5.26749995745209,0.00232970764752369,0,0
4/660/176,466372,520028,0.0489809018098328,0.0385897432780373,1.32793335908850,0,0
4/660/179,467262,518440,0.293885410858997,0.0192948716390186,0.181717196506848,0,0
4/660/9000,464500,518200,0.163269672699443,239.294998067109,0.00232970764752369,0,0
48/306/31,469500,498900,0.326539345398885,0.0385897432780373,1.42345137263697,0,0
48/349/7,420400,511100,0.0163269672699443,0.656025635726633,0.0279564917702842,0,0
48/349/10,419802,511657,0.212250574509275,0.0578846149170559,0.232970764752369,0,0
48/349/13,421300,512400,0.228577541779220,0.656025635726633,0.146771581793992,0,0
48/350/24,397000,504900,0.065307869079777,0.0385897432780373,0.0465941529504737,0,0
48/353/4,415156,512756,0.620424756257882,0.0385897432780373,1.17417265435194,0,0
48/371/33,414061,507796,0.0326539345398885,0.0385897432780373,0.00232970764752369,0,0
48/372/82,402754,499788,0.0163269672699443,0.0385897432780373,3.84168791076656,0,0
48/372/91,405800,498800,0.375520247208718,0.0771794865560745,0.50554655951264,0,0
48/372/9008,401800,502100,0.0326539345398885,0.0192948716390186,2.16895781984455,0,0
48/373/121,417900,501000,0.473482050828384,0.0385897432780373,0.0302861994178079,0,0
48/373/9000,416711,501967,0.0163269672699443,2.7977563876577,0.00232970764752369,0,0
48/373/9014,417580,501261,0.0163269672699443,0.0192948716390186,0.0535832758930448,0,0
48/11/12,443459,494055,1.46942705429498,0,0.731528201322438,0,0
48/11/14,443600,494500,3.90214517751668,0,0,0,0
48/267/38,455893,499777,0.0163269672699443,0.0578846149170559,0.130463628261327,0,0
48/267/130,456100,501700,0.277558443589053,3.51166663830139,0.116485382376184,2.59600915930651,0
48/175/26,496222,495863,2.10617877782281,0,1.49101289441516,0,0
48/175/28,495400,495800,4.57155083558439,0,0,0,0
48/175/29,495200,497500,1.37146525067532,0,0.882959198411478,0,0
48/175/43,496209,495824,0,0,0.0559129835405685,0,0
48/175/55,496109,495738,0,0,0.370423515956266,0,0
48/175/56,493600,496700,8.7022735548803,0,12.3125049171627,0,0
48/175/57,496199,495755,0,0,0.00698912294257106,0,0
12/62/9001,442869,535001,2.46537205776158,0.0385897432780373,0.00232970764752369,0,0
12/273/539,401389,536088,0.0163269672699443,0.0192948716390186,0.123474505318755,0,0
12/273/548,391200,537800,0.277558443589053,0.0192948716390186,0.396050300079027,0,0
12/273/567,399000,537500,0.0489809018098328,0.0192948716390186,0.498557436570069,0,0
48/473/1,485567,507599,2.07352484328292,0,1.11360025551632,0,0
48/473/3,486200,508900,0.522462952638217,0,0,0,0
48/473/5,484800,508200,3.51029796303802,0,0,0,0
48/473/8,485200,507900,0,0,0.0396050300079027,0,0
12/40/205,414328,528855,0.751040494417436,0.0385897432780373,0.00465941529504737,0,0
12/70/72,438031,533422,1.38779221794526,0.0578846149170559,0.00232970764752369,0,0
12/602/6513,384838,527009,0.0163269672699443,0.0385897432780373,0.130463628261327,0,0
12/603/6510,396400,523500,0.0163269672699443,0.289423074585279,0.186376611801895,0,0
8/324/7003,365500,529300,0.0163269672699443,0.0385897432780373,0.081539767663329,0,0
8/145/127,363599,531380,1.24084951251576,0.0385897432780373,5.15797273161744,0,0
8/145/13,361500,532700,0.179596639969387,0.0192948716390186,0.0629021064831396,0,0
8/170/7021,362071,508173,0.653078690797771,0.0385897432780373,0.0605723988356159,0,0
4/511/14,440700,513500,0.146942705429498,0.0385897432780373,0.0512535682455211,0,0
4/514/42,439400,520900,0.0163269672699443,0.0192948716390186,6.22963824947834,0,0
4/514/7000,439972,522529,0.0163269672699443,0.0771794865560745,2.59762402698891,0,0
4/516/64,441530,513982,0.0163269672699443,0.366602561141354,0.165409242974182,0,0
4/516/70,442012,513433,0.146942705429498,0.154358973112149,0.00232970764752369,0,0
4/517/12,440489,518193,0.065307869079777,0.0192948716390186,5.47714267932819,0,0
4/517/54,438400,519100,0.571443854448049,0.0385897432780373,0.670955802486822,0,0
8/330/6000,374986,511062,0.065307869079777,0.0192948716390186,0.0139782458851421,0,0
8/331/24,362158,527258,0.114288770889610,0.0385897432780373,0.0768803523682817,0,0
8/333/6,373700,516800,0.702059592607604,0.0192948716390186,0.528843635987877,0,0
8/333/65,371573,517480,0.375520247208718,0.0192948716390186,1.66807067562696,0,0
8/333/88,372721,516124,0.0163269672699443,0.0192948716390186,0.0396050300079027,0,0
8/379/3,362216,492439,0.065307869079777,0.0192948716390186,1.09030317904109,0,0
8/379/31,362000,491900,0.88165623257699,0.0385897432780373,0.144441874146469,0,0
8/405/168,363600,506500,0.114288770889610,0.0192948716390186,0.209673688277132,0,0
12/2/4,411700,518600,1.17554164343599,0,0.314510532415698,0,0
12/2/11,410900,519000,1.89392820331353,0,1.15320528552423,0,0
12/2/12,411700,518700,7.34713527147492,0,1.48868318676764,0,0
12/3/24,413200,523400,0,0,0.0582426911880922,0,0
12/4/5,400100,524700,1.27350344705565,0,3.05657643355108,0,0
12/4/11,400100,523900,0,0,3.23829363005793,0,0
12/7/1,417916,518456,0.751040494417436,0,1.08331405609851,0,0
12/9/2,417834,520720,0,0,0.0279564917702842,0,0
12/10/5,404900,523400,1.92658213785342,0,2.39028004635930,12.9800457965325,0
12/10/10,406400,524600,2.30210238506214,0,2.53472192050577,0,0
12/10/17,410100,523300,2.79191140316047,0,1.67971921386458,0,0
12/10/19,408200,523000,1.63269672699443,0,0,0,0
12/10/21,408300,524300,2.61231476319108,0,1.67738950621705,0,0
12/12/34,409475,527352,1.9918900069332,0,2.25049758750788,0,0
12/12/59,410400,527700,3.75520247208718,0,0,0,0
12/12/98,410100,524500,0.375520247208718,0,0.193365734744466,0,0
12/12/99,409300,526800,4.01643394840629,0,3.99777832315065,0,0
12/12/109,410400,527100,1.15921467616604,0,0,0,0
12/12/136,410700,524700,0.963291068926712,0,0,0,0
12/12/174,412500,525700,0.979618036196656,0,0.0186376611801895,0,0
12/13/92,403208,518937,2.85721927224025,0,2.59296461169386,0,0
12/14/7,398400,527900,0.506135985368272,0,4.01175656903579,0,0
12/14/11,395500,526200,0.359193279938774,0,0.559129835405685,0,0
12/14/14,395500,525700,2.92252714132002,0,3.44097819539249,0,0
12/14/6000,395000,525200,0.212250574509275,0.0192948716390186,6.47658726011585,0,0
12/15/2,418841,521227,3.91847214478662,0,0,0,0
